discipline,winner,nb_sets,game_1_score,game_2_score,game_3_score,team_one_players,team_two_players,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores,team_one_game_1_points,team_two_game_1_points,team_one_game_2_points,team_two_game_2_points,team_one_game_3_points,team_two_game_3_points,game_1_winner,game_2_winner,game_3_winner,game_1_interval_score,game_2_interval_score,game_3_interval_score,game_1_interval_winner,game_2_interval_winner,game_3_interval_winner
WD,2,2,17-21,21-23,0-0,"Ashwini Ponnappa, N. Sikki Reddy","Yue Du, Yue Du",5,5,1,3,5,5,0,1,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '5-5', '6-5', '7-5', '7-6', '7-7', '7-8', '7-9', '7-10', '8-10', '9-10', '9-11', '9-12', '9-13', '9-14', '10-14', '11-14', '12-14', '13-14', '14-14', '14-15', '15-15', '15-16', '15-17', '16-17', '16-18', '17-18', '17-19', '17-20', '17-21']",4.0,4.0,1.0,2.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '5-4', '6-4', '6-5', '7-5', '7-6', '7-7', '7-8', '8-8', '8-9', '9-9', '9-10', '10-10', '11-10', '12-10', '12-11', '12-12', '13-12', '13-13', '13-14', '13-15', '14-15', '15-15', '16-15', '16-16', '16-17', '16-18', '16-19', '17-19', '18-19', '19-19', '20-19', '20-20', '20-21', '21-21', '21-22', '21-23']",0.0,0.0,0.0,0.0,[],17,21,21,23,0,0,2,2,2,9-11,11-10,0-0,2,1,0
WD,2,2,10-21,15-21,0-0,"Meghana Jakkampudi, Poorvisha S Ram","Jongkolphan Kititharakul, Jongkolphan Kititharakul",5,7,0,2,3,5,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '1-5', '2-5', '2-6', '2-7', '2-8', '3-8', '3-9', '4-9', '4-10', '4-11', '4-12', '4-13', '4-14', '5-14', '6-14', '7-14', '7-15', '7-16', '8-16', '9-16', '9-17', '9-18', '10-18', '10-19', '10-20', '10-21']",5.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '1-5', '1-6', '2-6', '3-6', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '5-11', '5-12', '6-12', '6-13', '6-14', '7-14', '7-15', '7-16', '7-17', '8-17', '9-17', '10-17', '11-17', '12-17', '12-18', '12-19', '13-19', '14-19', '15-19', '15-20', '15-21']",0.0,0.0,0.0,0.0,[],10,21,15,21,0,0,2,2,2,4-11,4-11,0-0,2,2,0
WD,1,2,21-16,21-9,0-0,"Greysia Polii, Apriyani Rahayu","Della Destiara Haris, Della Destiara Haris",7,2,3,0,6,2,2,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '9-9', '10-9', '11-9', '12-9', '13-9', '13-10', '13-11', '14-11', '15-11', '16-11', '16-12', '17-12', '17-13', '18-13', '19-13', '19-14', '19-15', '20-15', '20-16', '21-16']",7.0,2.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '10-5', '10-6', '11-6', '12-6', '13-6', '14-6', '14-7', '15-7', '16-7', '17-7', '18-7', '18-8', '18-9', '19-9', '20-9', '21-9']",0.0,0.0,0.0,0.0,[],21,16,21,9,0,0,1,2,2,11-9,11-6,0-0,1,1,0
WD,2,3,14-21,21-19,18-21,"Kamilla Rytter Juhl, Christinna Pedersen","Greysia Polii, Greysia Polii",4,8,2,4,4,8,0,2,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '9-9', '9-10', '9-11', '10-11', '11-11', '12-11', '12-12', '13-12', '13-13', '13-14', '13-15', '13-16', '13-17', '13-18', '13-19', '13-20', '14-20', '14-21']",3.0,3.0,2.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '8-4', '8-5', '9-5', '9-6', '9-7', '9-8', '10-8', '11-8', '11-9', '11-10', '11-11', '12-11', '13-11', '13-12', '13-13', '14-13', '15-13', '15-14', '16-14', '17-14', '17-15', '17-16', '18-16', '18-17', '19-17', '19-18', '20-18', '20-19', '21-19']",3.0,5.0,0.0,2.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '8-8', '8-9', '8-10', '9-10', '10-10', '11-10', '11-11', '11-12', '12-12', '12-13', '12-14', '13-14', '13-15', '14-15', '15-15', '15-16', '15-17', '15-18', '15-19', '16-19', '17-19', '17-20', '18-20', '18-21']",14,21,21,19,18,21,2,1,2,9-11,11-8,11-10,2,1,1
WD,2,2,19-21,17-21,0-0,"Yue Du, Yinhui Li","Jongkolphan Kititharakul, Jongkolphan Kititharakul",4,3,0,3,4,3,0,1,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '4-5', '5-5', '6-5', '7-5', '8-5', '8-6', '8-7', '9-7', '9-8', '10-8', '11-8', '11-9', '12-9', '12-10', '12-11', '13-11', '13-12', '14-12', '14-13', '15-13', '16-13', '16-14', '16-15', '17-15', '18-15', '18-16', '18-17', '18-18', '19-18', '19-19', '19-20', '19-21']",4.0,3.0,0.0,2.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '8-5', '8-6', '9-6', '9-7', '9-8', '9-9', '10-9', '11-9', '11-10', '12-10', '12-11', '12-12', '12-13', '13-13', '13-14', '13-15', '14-15', '14-16', '14-17', '14-18', '15-18', '16-18', '16-19', '16-20', '17-20', '17-21']",0.0,0.0,0.0,0.0,[],19,21,17,21,0,0,2,2,2,11-8,11-9,0-0,1,1,0
WD,1,2,21-18,21-15,0-0,"Greysia Polii, Apriyani Rahayu","Jongkolphan Kititharakul, Jongkolphan Kititharakul",6,5,3,0,4,4,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '8-5', '9-5', '10-5', '10-6', '11-6', '11-7', '12-7', '12-8', '13-8', '14-8', '15-8', '15-9', '15-10', '15-11', '15-12', '16-12', '17-12', '17-13', '18-13', '18-14', '18-15', '18-16', '19-16', '19-17', '19-18', '20-18', '21-18']",6.0,5.0,2.0,0.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '3-6', '3-7', '4-7', '5-7', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '10-9', '11-9', '12-9', '13-9', '14-9', '14-10', '14-11', '14-12', '14-13', '14-14', '15-14', '16-14', '17-14', '18-14', '19-14', '20-14', '20-15', '21-15']",0.0,0.0,0.0,0.0,[],21,18,21,15,0,0,1,1,2,11-6,11-9,0-0,1,1,0
WD,1,2,21-11,21-19,0-0,"Ayako Sakuramoto, Yukiko Takahata","Maiken Fruergaard, Maiken Fruergaard",6,4,6,0,6,2,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '6-6', '7-6', '8-6', '9-6', '9-7', '10-7', '10-8', '11-8', '12-8', '13-8', '14-8', '15-8', '16-8', '16-9', '17-9', '17-10', '18-10', '18-11', '19-11', '20-11', '21-11']",3.0,4.0,5.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '5-5', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '10-7', '10-8', '11-8', '12-8', '13-8', '13-9', '14-9', '15-9', '15-10', '15-11', '15-12', '16-12', '17-12', '18-12', '18-13', '18-14', '19-14', '19-15', '20-15', '20-16', '20-17', '20-18', '20-19', '21-19']",0.0,0.0,0.0,0.0,[],21,11,21,19,0,0,1,1,2,11-8,11-8,0-0,1,1,0
WD,1,2,21-13,21-15,0-0,"Lise Jaques, Flore Vandenhoucke","Eva Janssens, Eva Janssens",6,2,4,0,6,2,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '5-4', '6-4', '7-4', '8-4', '8-5', '9-5', '9-6', '9-7', '10-7', '11-7', '11-8', '11-9', '12-9', '13-9', '14-9', '15-9', '15-10', '16-10', '16-11', '17-11', '18-11', '18-12', '19-12', '19-13', '20-13', '21-13']",4.0,2.0,3.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '11-7', '11-8', '11-9', '12-9', '12-10', '13-10', '14-10', '15-10', '16-10', '16-11', '17-11', '17-12', '17-13', '18-13', '19-13', '20-13', '20-14', '20-15', '21-15']",0.0,0.0,0.0,0.0,[],21,13,21,15,0,0,1,1,2,11-7,11-7,0-0,1,1,0
WD,2,3,19-21,21-14,17-21,"Savitree Amitrapai, Pacharapun Chochuwong","Isabel Herttrich, Isabel Herttrich",5,6,3,4,5,3,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '9-8', '9-9', '9-10', '9-11', '10-11', '10-12', '11-12', '11-13', '11-14', '12-14', '12-15', '13-15', '14-15', '15-15', '16-15', '17-15', '17-16', '17-17', '18-17', '18-18', '19-18', '19-19', '19-20', '19-21']",5.0,6.0,3.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '5-1', '5-2', '5-3', '5-4', '5-5', '5-6', '6-6', '7-6', '8-6', '8-7', '9-7', '10-7', '11-7', '12-7', '12-8', '13-8', '13-9', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '17-12', '18-12', '19-12', '20-12', '20-13', '20-14', '21-14']",3.0,4.0,0.0,3.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '3-7', '4-7', '4-8', '5-8', '5-9', '6-9', '6-10', '6-11', '6-12', '7-12', '7-13', '8-13', '9-13', '10-13', '10-14', '11-14', '11-15', '12-15', '13-15', '13-16', '13-17', '14-17', '14-18', '15-18', '15-19', '15-20', '16-20', '17-20', '17-21']",19,21,21,14,17,21,2,1,2,9-11,11-7,6-11,2,1,2
WD,1,2,21-7,21-7,0-0,"Selena Piek, Cheryl Seinen","Sharone Bauer, Sharone Bauer",8,4,4,0,7,2,3,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '7-2', '8-2', '9-2', '9-3', '9-4', '10-4', '11-4', '12-4', '13-4', '14-4', '15-4', '16-4', '16-5', '17-5', '18-5', '19-5', '20-5', '20-6', '20-7', '21-7']",8.0,4.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '2-4', '3-4', '4-4', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '9-6', '10-6', '11-6', '12-6', '13-6', '13-7', '14-7', '15-7', '16-7', '17-7', '18-7', '19-7', '20-7', '21-7']",0.0,0.0,0.0,0.0,[],21,7,21,7,0,0,2,2,2,11-4,11-6,0-0,1,1,0
WD,2,2,7-21,8-21,0-0,"Celine Burkart, Annika Horbach","Linda Efler, Linda Efler",3,10,0,3,3,9,0,1,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '2-4', '3-4', '4-4', '5-4', '5-5', '5-6', '5-7', '5-8', '5-9', '5-10', '5-11', '5-12', '5-13', '6-13', '6-14', '6-15', '6-16', '6-17', '7-17', '7-18', '7-19', '7-20', '7-21']",2.0,9.0,0.0,2.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '1-6', '2-6', '2-7', '2-8', '2-9', '2-10', '2-11', '2-12', '2-13', '2-14', '2-15', '3-15', '3-16', '4-16', '4-17', '5-17', '5-18', '6-18', '6-19', '7-19', '7-20', '8-20', '8-21']",0.0,0.0,0.0,0.0,[],7,21,8,21,0,0,1,1,2,5-11,2-11,0-0,2,2,0
WD,1,2,21-13,21-16,0-0,"Alzbeta Basova, Michaela Fuchsova","Silvia Garino, Silvia Garino",8,3,2,0,3,2,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '7-5', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '10-9', '11-9', '11-10', '12-10', '12-11', '13-11', '14-11', '15-11', '15-12', '16-12', '17-12', '18-12', '18-13', '19-13', '20-13', '21-13']",8.0,3.0,1.0,0.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '8-9', '8-10', '9-10', '9-11', '10-11', '10-12', '11-12', '11-13', '12-13', '12-14', '12-15', '13-15', '13-16', '14-16', '15-16', '16-16', '17-16', '18-16', '19-16', '20-16', '21-16']",0.0,0.0,0.0,0.0,[],21,13,21,16,0,0,1,1,2,11-9,9-11,0-0,1,2,0
WD,2,2,8-21,15-21,0-0,"Aline Müller, Jenjira Stadelmann","Lauren Smith, Lauren Smith",3,6,0,3,1,6,0,2,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '2-6', '3-6', '3-7', '3-8', '3-9', '3-10', '3-11', '3-12', '4-12', '4-13', '5-13', '5-14', '5-15', '6-15', '6-16', '7-16', '7-17', '7-18', '7-19', '7-20', '8-20', '8-21']",3.0,5.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '2-4', '2-5', '2-6', '3-6', '4-6', '5-6', '5-7', '5-8', '5-9', '6-9', '6-10', '7-10', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '9-15', '10-15', '11-15', '11-16', '12-16', '12-17', '13-17', '14-17', '14-18', '15-18', '15-19', '15-20', '15-21']",0.0,0.0,0.0,0.0,[],8,21,15,21,0,0,1,2,2,3-11,8-11,0-0,2,2,0
WD,2,2,19-21,18-21,0-0,"Chi Ya Cheng, Shuo Yun Sung","Julie Finne-Ipsen, Julie Finne-Ipsen",6,9,0,3,4,6,0,1,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '3-3', '4-3', '4-4', '5-4', '6-4', '7-4', '8-4', '8-5', '9-5', '9-6', '10-6', '10-7', '10-8', '11-8', '11-9', '12-9', '13-9', '14-9', '15-9', '15-10', '15-11', '16-11', '17-11', '17-12', '18-12', '18-13', '18-14', '18-15', '19-15', '19-16', '19-17', '19-18', '19-19', '19-20', '19-21']",6.0,7.0,0.0,2.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '4-4', '5-4', '6-4', '7-4', '7-5', '7-6', '7-7', '7-8', '7-9', '7-10', '7-11', '8-11', '9-11', '9-12', '10-12', '10-13', '10-14', '10-15', '10-16', '11-16', '12-16', '13-16', '13-17', '13-18', '14-18', '14-19', '15-19', '16-19', '17-19', '17-20', '18-20', '18-21']",0.0,0.0,0.0,0.0,[],19,21,18,21,0,0,2,2,2,11-8,7-11,0-0,1,2,0
WD,1,2,21-3,21-14,0-0,"Emilie Lefel, Anne Tran","Susanne Keller, Susanne Keller",9,4,2,0,9,1,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '8-0', '9-0', '9-1', '10-1', '11-1', '12-1', '13-1', '14-1', '15-1', '16-1', '17-1', '17-2', '18-2', '19-2', '19-3', '20-3', '21-3']",5.0,4.0,1.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '1-6', '2-6', '3-6', '4-6', '4-7', '5-7', '6-7', '7-7', '7-8', '7-9', '7-10', '8-10', '9-10', '10-10', '10-11', '11-11', '12-11', '12-12', '13-12', '13-13', '14-13', '15-13', '16-13', '16-14', '17-14', '18-14', '19-14', '20-14', '21-14']",0.0,0.0,0.0,0.0,[],21,3,21,14,0,0,2,1,2,11-1,10-11,0-0,1,2,0
WD,2,2,13-21,16-21,0-0,"Debora Jille, Imke Van Der Aar","Chloe Birch, Chloe Birch",4,7,0,2,3,6,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '1-6', '2-6', '3-6', '4-6', '4-7', '4-8', '5-8', '6-8', '6-9', '7-9', '8-9', '9-9', '9-10', '10-10', '11-10', '11-11', '12-11', '12-12', '12-13', '12-14', '12-15', '13-15', '13-16', '13-17', '13-18', '13-19', '13-20', '13-21']",4.0,6.0,0.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '7-6', '8-6', '9-6', '10-6', '10-7', '11-7', '11-8', '12-8', '12-9', '13-9', '14-9', '14-10', '14-11', '14-12', '15-12', '15-13', '15-14', '15-15', '16-15', '16-16', '16-17', '16-18', '16-19', '16-20', '16-21']",0.0,0.0,0.0,0.0,[],13,21,16,21,0,0,2,2,2,11-10,11-7,0-0,1,1,0
WD,1,3,19-21,25-23,21-15,"Lauren Smith, Sarah Walker","Delphine Delrue, Delphine Delrue",5,4,7,1,3,3,0,1,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '4-7', '4-8', '5-8', '6-8', '6-9', '7-9', '8-9', '8-10', '8-11', '9-11', '10-11', '11-11', '11-12', '12-12', '12-13', '13-13', '13-14', '14-14', '15-14', '16-14', '16-15', '16-16', '16-17', '17-17', '18-17', '18-18', '19-18', '19-19', '19-20', '19-21']",5.0,4.0,5.0,0.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '4-12', '5-12', '6-12', '7-12', '7-13', '8-13', '9-13', '10-13', '11-13', '12-13', '12-14', '13-14', '13-15', '13-16', '14-16', '15-16', '15-17', '16-17', '17-17', '17-18', '18-18', '19-18', '19-19', '20-19', '20-20', '21-20', '21-21', '22-21', '22-22', '23-22', '23-23', '24-23', '25-23']",4.0,2.0,2.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '6-4', '7-4', '8-4', '9-4', '10-4', '10-5', '10-6', '11-6', '12-6', '12-7', '12-8', '13-8', '14-8', '14-9', '14-10', '15-10', '15-11', '16-11', '16-12', '17-12', '18-12', '19-12', '19-13', '19-14', '20-14', '20-15', '21-15']",19,21,25,23,21,15,2,1,1,8-11,4-11,11-6,2,2,1
WD,1,2,21-18,21-12,0-0,"Nami Matsuyama, Chiharu Shida","Anastasia Chervyakova, Anastasia Chervyakova",4,4,4,0,4,4,2,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '8-8', '8-9', '9-9', '10-9', '11-9', '11-10', '12-10', '13-10', '14-10', '15-10', '15-11', '16-11', '16-12', '16-13', '17-13', '18-13', '18-14', '18-15', '18-16', '19-16', '19-17', '20-17', '20-18', '21-18']",4.0,2.0,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '8-6', '8-7', '8-8', '9-8', '10-8', '11-8', '11-9', '12-9', '13-9', '14-9', '15-9', '15-10', '16-10', '17-10', '18-10', '18-11', '19-11', '20-11', '20-12', '21-12']",0.0,0.0,0.0,0.0,[],21,18,21,12,0,0,1,1,2,11-9,11-8,0-0,1,1,0
WD,2,3,21-14,13-21,17-21,"Misato Aratama, Akane Watanabe","Emilie Lefel, Emilie Lefel",5,5,1,2,4,3,1,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '9-5', '9-6', '10-6', '11-6', '12-6', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '16-9', '16-10', '17-10', '17-11', '17-12', '17-13', '18-13', '19-13', '19-14', '20-14', '21-14']",3.0,5.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '2-6', '2-7', '3-7', '3-8', '4-8', '4-9', '4-10', '5-10', '6-10', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '8-15', '8-16', '9-16', '10-16', '10-17', '11-17', '11-18', '12-18', '13-18', '13-19', '13-20', '13-21']",5.0,4.0,0.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '4-5', '5-5', '6-5', '7-5', '8-5', '9-5', '9-6', '9-7', '9-8', '10-8', '10-9', '11-9', '11-10', '11-11', '12-11', '13-11', '13-12', '13-13', '13-14', '13-15', '14-15', '15-15', '16-15', '16-16', '16-17', '16-18', '17-18', '17-19', '17-20', '17-21']",21,14,13,21,17,21,1,2,2,11-6,7-11,11-9,1,2,1
WD,1,2,21-8,21-10,0-0,"Chloe Birch, Jessica Pugh","Ainoa Desmons, Ainoa Desmons",8,3,3,0,7,2,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '8-6', '9-6', '10-6', '11-6', '12-6', '13-6', '13-7', '14-7', '14-8', '15-8', '16-8', '17-8', '18-8', '19-8', '20-8', '21-8']",8.0,3.0,2.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '6-2', '7-2', '8-2', '9-2', '10-2', '10-3', '10-4', '11-4', '11-5', '11-6', '11-7', '12-7', '13-7', '13-8', '14-8', '15-8', '16-8', '17-8', '17-9', '18-9', '19-9', '20-9', '20-10', '21-10']",0.0,0.0,0.0,0.0,[],21,8,21,10,0,0,2,1,2,11-6,11-4,0-0,1,1,0
WD,1,2,21-9,21-12,0-0,"Gabriela Stoeva, Stefani Stoeva","Julie Finne-Ipsen, Julie Finne-Ipsen",9,3,2,0,9,2,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '12-4', '13-4', '14-4', '14-5', '15-5', '15-6', '15-7', '16-7', '16-8', '17-8', '18-8', '18-9', '19-9', '20-9', '21-9']",5.0,3.0,1.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '4-3', '5-3', '6-3', '6-4', '7-4', '8-4', '9-4', '10-4', '10-5', '11-5', '12-5', '13-5', '13-6', '14-6', '14-7', '15-7', '15-8', '16-8', '16-9', '17-9', '18-9', '18-10', '18-11', '18-12', '19-12', '20-12', '21-12']",0.0,0.0,0.0,0.0,[],21,9,21,12,0,0,2,1,2,11-4,11-5,0-0,1,1,0
WD,1,2,21-10,21-12,0-0,"Selena Piek, Cheryl Seinen","Lise Jaques, Lise Jaques",8,3,5,0,8,3,2,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '8-0', '8-1', '8-2', '8-3', '9-3', '10-3', '11-3', '11-4', '12-4', '13-4', '14-4', '14-5', '15-5', '15-6', '16-6', '17-6', '18-6', '18-7', '19-7', '19-8', '19-9', '20-9', '20-10', '21-10']",7.0,2.0,3.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '9-5', '9-6', '10-6', '10-7', '10-8', '11-8', '12-8', '12-9', '13-9', '14-9', '15-9', '16-9', '17-9', '18-9', '19-9', '19-10', '20-10', '20-11', '20-12', '21-12']",0.0,0.0,0.0,0.0,[],21,10,21,12,0,0,1,1,2,11-3,11-8,0-0,1,1,0
WD,1,3,21-13,15-21,21-8,"Linda Efler, Olga Konon","Alzbeta Basova, Alzbeta Basova",6,5,3,2,3,2,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '9-6', '10-6', '10-7', '11-7', '12-7', '13-7', '13-8', '13-9', '14-9', '14-10', '15-10', '16-10', '16-11', '17-11', '17-12', '18-12', '19-12', '19-13', '20-13', '21-13']",3.0,5.0,0.0,2.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '2-5', '3-5', '3-6', '3-7', '4-7', '4-8', '5-8', '6-8', '6-9', '6-10', '7-10', '7-11', '8-11', '8-12', '9-12', '9-13', '9-14', '10-14', '10-15', '10-16', '10-17', '11-17', '11-18', '12-18', '12-19', '13-19', '14-19', '14-20', '15-20', '15-21']",6.0,2.0,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '5-1', '6-1', '7-1', '7-2', '8-2', '8-3', '9-3', '9-4', '10-4', '11-4', '12-4', '13-4', '14-4', '15-4', '15-5', '15-6', '16-6', '16-7', '17-7', '18-7', '19-7', '20-7', '20-8', '21-8']",21,13,15,21,21,8,1,2,2,11-7,7-11,11-4,1,2,1
WD,2,3,7-21,21-19,12-21,"Isabel Herttrich, Carla Nelte","Ayako Sakuramoto, Ayako Sakuramoto",7,9,3,3,2,9,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '1-6', '2-6', '3-6', '3-7', '3-8', '3-9', '4-9', '4-10', '5-10', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '6-19', '7-19', '7-20', '7-21']",7.0,5.0,3.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '7-7', '7-8', '7-9', '8-9', '8-10', '9-10', '9-11', '10-11', '11-11', '12-11', '13-11', '14-11', '15-11', '16-11', '16-12', '16-13', '16-14', '16-15', '16-16', '17-16', '18-16', '18-17', '19-17', '20-17', '20-18', '20-19', '21-19']",3.0,4.0,0.0,2.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '3-5', '4-5', '4-6', '4-7', '4-8', '4-9', '5-9', '6-9', '7-9', '7-10', '7-11', '8-11', '8-12', '8-13', '8-14', '8-15', '9-15', '9-16', '9-17', '9-18', '9-19', '10-19', '11-19', '11-20', '12-20', '12-21']",7,21,21,19,12,21,1,1,2,6-11,9-11,7-11,2,2,2
